bank_tier,current_version,target_version,version_jump_size,system_age_months,last_upgrade_months_ago,code_customization_percent,third_party_integrations,avg_transaction_volume,peak_transaction_volume,system_uptime_percent,avg_response_time_ms,incident_count_last_6months,unplanned_downtime_hours_last_year,infrastructure_model,server_count,database_size_gb,concurrent_users,network_bandwidth_mbps,power_stability_score,deployment_strategy,deployment_automation_level,pm_methodology,critical_incidents_last_year,test_environment_available,backup_verified,rollback_plan_exists,staff_training_completed,early_stage_testing_completed,cbn_compliance_verified,data_localization_compliant,cyber_security_framework_updated,bcp_dr_plan_tested,customer_satisfaction_score,customer_complaints_last_quarter,digital_banking_adoption_percent,service_disruption_tolerance_hours,upgrade_window_hours,business_critical_period,regulatory_compliance_required,dedicated_team_size,vendor_support_available,budget_allocated_usd,external_consultant_engaged,upgrade_success,upgrade_risk_score,system_health_score
tier3,v9.2,v10.1,major_1x,87,18,60.3984071313855,29,293991,477273,98.6234415676063,873,10,30,on_premise,13,10716,4082,4215,80.65812252239267,canary,61.41608591609602,scrum,6,1,1,0,1,1,1,1,1,1,77.00008700448058,16,49.2943938341558,4,42,0,0,11,1,679246,1,1,90.1665902161543,36.85172078380316
microfinance,v10.1,v9.2,major_1x,81,25,59.58678600691858,6,175593,205667,97.75384740010128,777,9,12,on_premise,10,10123,1561,4480,70.84734417182766,big_bang,12.277177548549105,agile,1,1,1,1,0,0,0,1,0,0,62.99501473806497,11,70.46292216437614,2,30,0,0,5,0,1601896,0,0,100.0,50.33692370005065
tier1,v9.2,v10.5,major_1x,68,32,46.527061960195304,50,174876,923191,96.37423898041611,1640,1,45,private_cloud,23,29037,8344,6842,88.90572204302167,canary,84.06583869849025,agile,3,1,1,1,0,1,1,0,1,1,90.7065861226436,11,67.30673185689128,10,61,0,1,13,1,2558923,1,1,42.82366069303745,39.887119490208065
tier3,v8.5,v11.0,major_1x,80,36,47.11728978139159,25,226294,393172,96.23151549545562,1070,11,12,on_premise,17,21337,2620,2612,88.5619503065909,big_bang,35.93225555955763,kanban,3,1,1,1,1,1,1,1,1,1,82.9153601335038,12,56.7921884031987,8,55,0,1,12,1,645238,0,1,100.0,37.71575774772782
tier2,v9.2,v10.5,minor,105,38,55.670023488723174,34,313508,291559,98.45218537006804,1313,5,29,hybrid_cloud,24,17039,4910,5956,83.85991646483498,big_bang,68.84597762943454,waterfall,5,1,1,1,1,1,1,1,1,1,78.82299441381707,16,72.2516370791973,5,52,0,0,16,1,1656875,1,1,70.94582241019845,43.46609268503401
microfinance,v10.1,v10.1,major_1x,70,13,31.584814093854806,29,35841,166754,96.66310462405626,731,8,23,on_premise,19,12190,3260,732,79.13881770801504,big_bang,42.21899983791927,waterfall,0,1,1,1,1,1,1,1,1,1,70.83381204731776,16,56.917790132080505,9,21,0,1,3,1,597569,0,1,95.74205547452699,48.21155231202812
microfinance,v10.1,v10.5,major_1x,69,24,30.488731658207595,18,52208,217873,96.911321705813,848,2,24,on_premise,18,9055,1197,1818,67.35572833650889,big_bang,44.729702461292696,agile,5,1,1,1,1,1,1,1,0,1,76.20513124606013,16,53.00743625847047,5,42,0,1,11,0,968417,1,1,74.46373100317768,63.4956608529065
microfinance,v10.1,v9.0,major_1x,79,38,46.3490548584774,11,190042,462224,97.11321890255596,304,2,27,on_premise,4,6110,1643,2840,80.9382634820539,big_bang,9.48926017256197,waterfall,1,1,1,1,1,1,1,0,1,0,63.448338463491716,13,53.20337285554773,4,3,1,0,11,1,820086,0,1,78.50865907948241,72.97660945127798
tier2,v8.2,v11.0,major_1x,89,27,36.745403608890186,21,336700,559239,95.82943804006734,543,12,30,hybrid_cloud,23,21388,6806,1786,82.75156192802578,rolling,33.503950450365096,agile,5,0,1,1,1,1,1,1,0,1,64.10194120114728,10,66.67040688616156,2,35,0,1,8,1,2080542,1,1,100.0,36.05471902003367
microfinance,v8.5,v10.5,minor,26,9,41.4376344454362,4,60734,99839,97.92170035872175,873,9,19,on_premise,21,16307,1797,1868,70.93151605738132,big_bang,15.948196374107283,waterfall,0,0,1,1,1,0,0,1,1,1,78.68005208288221,17,41.56873470246349,2,7,1,0,7,0,1666621,0,0,100.0,45.00085017936087
tier3,v8.2,v9.0,minor,84,20,40.793781457332805,12,194910,274784,98.30613308697279,1232,8,22,on_premise,29,20914,5334,4224,82.92146730573046,canary,14.05898077296618,scrum,0,0,1,1,0,1,1,1,1,0,61.858042491504996,8,66.53568843419286,7,39,0,0,8,1,2177197,0,1,93.11757810898958,39.5130665434864
tier2,v9.0,v9.2,minor,14,29,45.50526902741919,29,76975,490396,97.27902580165564,1264,3,22,on_premise,14,28382,2907,4184,89.8608949982761,canary,58.122953558108634,agile,7,1,1,1,1,1,1,1,1,0,78.92485884168435,12,77.3718370328586,9,17,0,0,9,1,2277210,1,1,49.781080778938964,53.35951290082781
tier3,v8.5,v10.5,major_1x,15,8,58.03521439465964,8,192513,443330,97.46662583990664,254,10,13,on_premise,14,12444,3569,3558,81.3027186431337,rolling,50.488425481737714,scrum,2,1,1,1,1,1,1,0,1,1,81.48189502846202,14,77.9611450440911,8,15,1,0,7,0,1353681,0,1,96.79775615697305,57.15331291995332
tier1,v9.2,v11.0,major_1x,44,47,61.14843783684697,25,228147,411474,98.49657097185593,517,9,31,private_cloud,28,36501,7166,8961,94.55695092605134,blue_green,27.025857006526323,scrum,5,1,1,1,1,1,1,1,1,1,77.28758813597294,4,87.10884086336672,3,20,0,0,9,0,1663194,0,1,71.04335027062722,46.40828548592796
tier3,v10.1,v9.0,major_2x,50,23,65.24226405361055,22,266384,217311,95.91358157683511,1093,11,3,on_premise,29,17996,1859,6015,71.6573647866926,big_bang,55.18454032871032,waterfall,4,1,1,0,1,1,1,1,1,0,84.07021670363139,13,48.80065359322625,7,5,0,0,6,1,1440538,0,1,100.0,41.59679078841755
tier2,v9.0,v10.5,minor,63,31,61.30700422974615,10,233720,798713,95.8663514420612,531,10,36,hybrid_cloud,20,35113,6989,6430,88.93816116212668,blue_green,31.86858211501967,scrum,5,1,1,1,1,0,1,1,1,0,76.2325704722361,13,56.957074048041534,4,12,0,0,10,1,2355172,1,1,90.40969588460008,39.3131757210306
tier1,v8.5,v9.2,minor,20,39,25.58698318001336,17,457532,947154,95.68957904224814,1708,15,39,hybrid_cloud,13,48540,7974,9240,81.29382811686679,canary,47.02770443208573,agile,2,1,1,1,1,1,1,1,1,0,89.54751575808841,9,79.98226042636519,7,57,0,1,11,1,2398731,1,1,96.58765909980171,0.0
tier1,v8.2,v10.5,major_1x,56,18,63.341386401089984,45,356634,256833,99.6074466777458,1662,3,13,private_cloud,27,13288,9496,2809,89.78095906231933,blue_green,99.42664175855259,agile,2,1,1,1,1,1,1,1,1,0,81.02291428354131,9,74.72829843733105,9,64,0,0,12,1,2395972,1,1,40.73069979508161,51.063723338872904
tier3,v10.1,v9.0,major_1x,71,37,49.0507377617164,14,232373,179493,96.46779783002582,590,7,33,public_cloud,28,17970,3598,1112,71.1560435918214,rolling,18.287062671598285,waterfall,4,1,1,1,0,1,1,1,0,1,64.29740247440796,6,44.015225648971715,3,8,0,0,7,1,1334827,1,1,76.78567829576593,48.933898915012904
tier2,v8.2,v10.5,major_1x,42,6,52.713947545227846,36,408765,724583,95.7600839071011,1693,10,30,on_premise,23,14880,6567,2709,97.91900701002487,rolling,19.299994914445097,scrum,3,1,1,1,1,1,1,1,0,1,84.33836686500864,14,72.90618557705213,5,53,0,0,16,1,3719829,0,1,99.08992048807157,19.020041953550546
tier3,v8.5,v11.0,major_2x,71,30,38.90326508541716,8,47350,517186,96.89445142760587,199,11,9,hybrid_cloud,17,22817,5484,1543,94.89179799654718,big_bang,23.18459455528471,scrum,6,1,0,1,1,1,1,1,1,1,86.50667450866366,13,75.91270839796528,5,10,0,1,9,1,1267854,1,1,100.0,56.96722571380293
tier1,v8.5,v10.1,major_2x,115,25,20.278951692278337,25,449610,534333,95.93088499772573,1393,14,42,hybrid_cloud,23,31246,8003,4400,91.99952221012508,rolling,94.20344793951817,scrum,2,1,1,1,1,1,1,1,1,1,70.61743487750641,10,74.06871409657644,6,29,0,1,12,1,1609138,0,1,100.0,7.105442498862871
tier2,v9.0,v9.0,minor,39,7,70.82353186567204,36,367572,712557,95.75777940017934,462,9,28,on_premise,27,27936,5534,2403,82.89528400982181,big_bang,19.443724914616094,scrum,4,1,1,1,1,1,0,1,1,1,67.75498082133565,8,65.22611385925013,5,23,0,1,6,1,1117877,1,1,100.0,47.63888970008968
tier3,v9.2,v9.0,major_2x,59,37,59.27362724647573,16,163450,537188,96.9764709670467,768,2,7,on_premise,21,7730,4175,5373,75.81957387986516,rolling,45.420413287638745,kanban,1,0,1,1,1,1,0,1,1,1,80.62708478971773,7,55.53069780342266,10,49,0,1,11,0,2104938,0,1,97.79598966196714,73.62823548352334
tier3,v8.2,v9.0,minor,91,34,39.236025093162766,14,223926,467166,97.04735559157403,414,0,24,on_premise,12,25785,2565,3150,85.29997185229682,blue_green,56.757290480737595,agile,1,1,1,1,0,0,1,1,0,0,87.90750660822573,10,50.89477397956699,9,36,1,1,11,1,1726725,1,1,51.406377769138004,78.24367779578702
tier2,v9.0,v9.0,major_1x,64,42,23.81226557083063,17,220639,398068,97.72351154064587,1655,13,40,hybrid_cloud,25,37382,2206,5744,71.45601174826265,rolling,79.21659801278993,kanban,0,1,1,1,1,1,1,1,1,0,77.59759264267105,11,72.7034288393497,7,28,0,0,4,1,3383265,0,1,88.54884587761732,6.761755770322935
tier3,v10.1,v10.5,major_1x,58,17,57.76705946312404,6,189051,325120,97.57131593109295,1013,8,5,hybrid_cloud,15,25348,3120,5392,79.29040079312693,canary,36.594017302493896,agile,2,1,1,1,0,1,1,0,0,1,63.32810222051266,13,69.12661348427704,10,32,0,1,7,0,1883580,1,1,93.29360361333511,52.02565796554647
microfinance,v9.2,v11.0,major_1x,69,34,33.62908318495311,19,128745,374151,97.30729314023912,897,6,18,on_premise,12,18001,640,1131,75.83339417312656,rolling,29.088341691246004,agile,3,0,1,1,0,1,1,1,1,1,65.89915087665075,12,49.25926921729757,7,51,0,1,8,1,419058,0,1,84.90756513941524,53.713646570119565
tier3,v9.0,v9.2,minor,69,27,33.92945212202901,27,128975,394960,96.77790527126804,184,5,8,private_cloud,11,10972,1316,1175,79.53068937347197,blue_green,58.96693015428239,waterfall,6,1,1,1,1,0,1,1,1,1,80.89762698026779,18,64.1753038140982,10,5,0,1,4,0,1831339,0,1,66.81058892602671,75.708952635634
tier2,v8.2,v11.0,minor,92,38,53.860512531289864,25,75443,319900,97.9752990498328,466,12,29,on_premise,31,22510,4645,8192,76.00001489964755,canary,25.089972576291917,scrum,0,1,1,1,0,1,1,0,1,1,69.32414104744655,8,63.16319589954148,8,16,0,1,7,1,1239228,0,1,100.0,39.16764952491641
tier1,v8.5,v9.0,major_1x,69,15,64.6276228865299,13,195393,616476,96.93697321748918,855,4,29,private_cloud,37,19979,8014,7084,96.83665655029913,canary,54.2834253054789,agile,5,1,1,1,1,1,1,1,1,1,82.90830205352279,9,60.436253582182495,5,36,1,0,14,1,4716025,1,1,42.18542803734072,54.868486608744604
microfinance,v10.1,v10.5,minor,12,17,14.523947860066594,20,192305,385232,96.56435588525487,964,4,12,on_premise,4,9860,1634,2866,66.47285937220802,big_bang,39.35075580304015,waterfall,2,1,1,1,0,0,1,1,1,1,73.190977823368,15,54.20698156554572,5,25,0,0,10,1,1210723,1,1,86.08455176658745,61.00217794262744
tier1,v8.2,v10.5,minor,24,34,65.19334372999978,40,472845,814322,97.32597773551494,1263,7,34,private_cloud,27,49715,4566,8051,93.14310754696008,blue_green,74.50792117732169,agile,5,1,1,1,1,1,1,1,1,1,87.06195082183139,15,70.38863532819597,3,68,0,1,7,0,2541374,1,1,63.52753058150951,35.40298886775746
microfinance,v9.2,v9.0,major_1x,41,32,49.38086964020357,19,133655,464445,96.19708184238912,914,8,26,on_premise,17,5753,701,1102,74.3874427650376,big_bang,9.375217420677366,agile,3,1,1,1,1,0,1,1,1,0,69.36953166359753,13,64.51259820050134,2,44,1,0,11,0,1531848,0,1,100.0,42.81854092119457
tier3,v9.2,v10.5,major_1x,45,29,44.855823425449756,7,126827,254950,96.08713351489669,1207,5,34,on_premise,13,13214,4405,3202,79.37884449141062,canary,61.49839863990212,agile,1,1,1,1,0,1,1,0,0,1,62.236888293987505,15,71.84036997213627,1,37,0,1,10,0,1154832,1,1,83.91259592147513,41.903566757448345
microfinance,v8.5,v9.0,major_1x,27,29,28.8374784117615,5,146069,221070,95.37659083073052,635,3,23,on_premise,18,7435,1282,4172,76.72448536295065,big_bang,49.640117858908226,scrum,0,1,1,1,1,1,0,0,1,1,62.37797206537896,15,45.672103742685636,4,14,0,0,10,1,743821,0,1,96.5992445696194,64.48829541536526
tier3,v8.5,v11.0,minor,90,26,21.564341841399834,30,201066,454177,97.03695921831525,343,11,27,on_premise,21,19384,2883,2831,80.16142761069491,canary,26.291150205243213,agile,3,1,1,1,0,1,1,1,0,1,77.55086533016554,16,52.53176123465831,6,13,0,1,9,1,1428706,0,1,100.0,45.158479609157624
microfinance,v10.1,v10.1,major_2x,91,22,16.591795219409857,10,114012,264629,96.87854064025382,405,3,2,on_premise,17,10059,627,3431,60.845611287001596,canary,30.15372151309271,scrum,2,1,1,1,1,1,1,1,1,1,63.04216209833746,12,72.9519844160451,5,52,1,0,6,1,487792,1,1,74.86625269356391,80.33927032012691
tier2,v10.1,v10.5,minor,104,28,14.480181200573895,12,317098,250931,96.75438128137513,1340,10,34,hybrid_cloud,24,11672,3758,7965,82.8573467659384,blue_green,39.11102886428337,waterfall,0,1,0,1,1,1,1,1,1,1,73.90894037047474,12,52.9297815966865,9,9,1,1,14,1,1124930,1,1,99.58365780634642,24.57719064068756
tier3,v8.5,v9.0,major_2x,94,39,23.850534441982056,5,211653,516996,98.70657614410138,1164,2,20,hybrid_cloud,12,8519,4284,1916,85.46818217119402,big_bang,68.79031540167672,waterfall,3,1,0,1,1,0,1,1,1,0,77.91919364921027,12,44.58162395424677,3,34,0,0,10,1,840528,1,1,100.0,60.07328807205069
tier2,v8.5,v9.0,major_1x,95,21,38.79816895426289,33,241192,588391,97.63143220578567,1050,2,39,hybrid_cloud,37,28070,2449,5782,95.59204040997682,canary,54.00738455629729,agile,7,1,1,1,1,1,1,1,0,1,72.43176674760831,13,47.98628167779803,8,48,0,0,12,1,2472928,1,1,47.974317008279534,52.315716102892836
tier2,v9.2,v10.5,major_1x,75,25,28.855672408710998,18,212363,473551,98.95034534155208,1407,4,41,on_premise,26,21144,7173,2299,81.89326115063554,canary,30.649621602268848,waterfall,2,1,0,1,1,1,1,1,1,1,74.45440788463372,9,81.01548430445939,4,17,1,0,9,1,1709832,1,1,79.65107127359036,38.83517267077603
tier3,v8.5,v9.2,major_2x,76,9,29.476770461842946,17,151514,412530,97.26496469449317,529,5,8,hybrid_cloud,22,19629,5499,2555,85.26793272693436,big_bang,53.740621578491684,scrum,5,1,1,1,0,1,0,1,0,0,85.10284965070687,14,45.83625842449637,3,45,0,0,11,1,1382680,0,1,100.0,69.0524823472466
microfinance,v9.0,v9.0,minor,37,14,31.540098453849833,11,254554,313283,95.74143814975156,723,0,19,on_premise,4,16155,3450,3396,91.92602931172354,big_bang,49.83354347813625,waterfall,3,1,1,1,0,1,1,1,1,1,80.79372756598256,11,65.56116992508915,6,9,0,1,6,0,604997,1,1,44.32670412203014,73.91071907487577
microfinance,v8.2,v10.5,minor,76,39,27.271144301694495,12,46249,228436,98.31012840603451,375,1,22,on_premise,14,11742,2831,3238,66.19387137326429,blue_green,44.38935056047944,agile,0,1,1,1,0,0,1,1,1,1,84.99448041073282,14,62.16457972655661,2,51,0,0,10,1,715354,0,1,52.45050901732208,77.65506420301725
tier3,v8.5,v9.0,major_1x,79,15,52.28720260159115,5,178512,511450,98.38500905192421,666,7,34,on_premise,25,15226,4449,2981,85.1920331642499,big_bang,11.345345781057887,scrum,2,1,1,1,0,0,1,1,1,1,86.74219816167147,14,67.53905238003136,5,15,0,1,3,1,2328639,0,1,97.70733941686906,47.872504525962114
tier2,v10.1,v9.2,minor,15,6,43.56448132959106,11,260438,671854,97.29107790170157,1167,13,31,public_cloud,13,37026,3701,7570,70.08742610025844,big_bang,31.936305736818422,scrum,4,1,1,1,1,0,1,1,1,1,83.99838811294163,10,72.98379708698575,7,40,0,0,8,1,2631731,1,1,100.0,20.805538950850774
tier2,v9.0,v10.1,major_1x,61,22,15.555906590218493,13,201307,216504,96.38459566857433,470,3,20,hybrid_cloud,31,30576,6820,5776,85.05332259233111,rolling,37.50152435213141,scrum,0,1,1,1,1,0,1,1,1,1,74.68388527481981,11,44.40527983269541,9,29,0,1,11,0,2298432,1,1,50.957996650378526,69.79229783428715
tier3,v10.1,v9.2,minor,51,16,24.959552537163212,22,178149,147408,96.03063842623506,812,0,28,private_cloud,18,5772,3767,1818,77.26572635299212,big_bang,19.87995307119077,agile,3,0,0,1,0,1,1,1,0,1,72.37134706887137,16,71.10176161797952,3,13,0,1,10,0,554080,0,1,97.98054526222454,67.77531921311753
tier2,v9.0,v11.0,major_2x,36,37,56.48563732438132,30,165988,684546,98.62070537752146,1258,2,8,on_premise,16,19109,5011,3468,94.5113908573613,canary,46.36044957698942,scrum,4,1,1,1,1,1,1,1,0,0,77.38700892345383,12,58.09481043916143,8,48,0,1,4,1,1365692,0,1,76.63283881857616,64.15035268876073
tier1,v8.5,v10.5,major_1x,59,35,35.46927433336826,35,451646,656937,95.90231364660477,1651,3,22,hybrid_cloud,43,49759,2964,9499,97.57874912053798,blue_green,42.15734596028393,scrum,7,1,1,1,1,1,0,0,0,1,80.33725624530943,2,66.26792347167931,3,26,0,0,13,1,3442620,0,1,76.74799176413894,44.93115682330239
tier2,v8.2,v9.2,minor,13,18,68.9652056440366,16,250770,739824,97.95356135738987,799,2,23,on_premise,26,20525,4745,2083,75.11995707406459,canary,13.216392860205383,agile,7,1,1,1,1,1,1,1,0,1,73.21105894529325,10,78.63917495316186,8,50,0,1,6,1,1228327,1,1,62.10867807451156,65.49678067869493
tier2,v10.1,v10.1,major_2x,66,21,56.66385137315756,18,302360,772090,97.96180152170511,976,13,32,hybrid_cloud,21,35883,5095,2667,79.31470920114151,big_bang,59.07772112395951,scrum,3,1,1,1,0,1,1,1,0,1,72.43509345713534,19,53.73929590189273,3,45,0,1,13,1,3593005,0,1,100.0,24.460900760852567
tier2,v9.0,v9.0,minor,64,2,31.59977039990393,28,226265,417756,96.14387676174883,1689,4,21,private_cloud,17,10715,6213,5528,82.53714923088164,blue_green,42.97957687138881,kanban,6,0,0,1,1,1,1,1,1,1,62.91300142687444,9,82.74726738615695,10,42,0,1,14,1,3746683,1,1,89.87198922130031,41.79193838087441
tier2,v9.2,v10.5,minor,48,17,45.027939779623495,33,145169,228775,98.21910012391722,1221,13,6,private_cloud,38,11488,7109,6276,92.59096411185263,blue_green,12.594145994460169,kanban,5,1,1,1,0,1,1,1,1,1,73.78579854242396,13,77.51632847976207,7,54,1,1,14,1,1318291,1,1,98.06802684766102,32.6895500619586
tier1,v8.5,v9.2,minor,94,47,58.80312622247681,12,381136,620150,98.6963800971152,1696,4,8,hybrid_cloud,22,29667,3603,3609,87.8500272936766,blue_green,94.29638246322543,agile,3,1,1,1,0,1,1,1,1,1,82.23503822555084,6,52.80450285548737,11,56,0,0,12,1,2791850,0,1,37.83366127207965,49.428190048557596
tier1,v8.2,v10.1,major_1x,120,20,28.617405621972974,27,493346,805591,97.1358555451086,1034,11,30,hybrid_cloud,49,46761,6903,6752,83.41013859183448,rolling,70.33806098317022,scrum,0,1,1,1,1,1,1,1,1,1,80.12882748606216,9,86.4301084147845,3,13,1,1,8,0,3292456,0,1,78.02014124830094,29.887927772554292
microfinance,v8.5,v9.2,major_1x,45,10,24.04697708204363,8,174417,522995,96.70206204772431,891,9,22,on_premise,14,16881,1655,3003,73.12753391680131,rolling,7.214910760516793,waterfall,1,0,1,1,0,0,1,0,1,0,69.17492502915633,15,45.06236060472187,6,40,0,0,6,1,1484983,1,1,100.0,42.53103102386217
tier2,v9.2,v11.0,major_1x,56,24,44.47736689217319,20,287250,534703,98.72693013570584,1175,2,31,hybrid_cloud,23,11262,5331,3307,86.95672703369927,blue_green,76.76005834095058,scrum,0,1,1,0,1,0,1,0,1,0,81.9842874928432,6,69.43947605532145,11,47,0,1,7,0,1847176,1,1,53.98352794981378,54.36346506785293
tier2,v8.2,v10.5,minor,94,19,69.24700809644942,31,396478,488691,97.49714572834284,1274,13,8,private_cloud,39,18724,1856,3517,82.28314825665777,rolling,41.85415622872359,scrum,7,0,1,1,1,1,1,0,1,1,66.77697094862827,7,83.9233881089691,10,34,1,0,7,1,1644142,0,1,100.0,30.268572864171418
tier3,v9.2,v9.0,major_2x,96,10,31.399288933145925,24,45327,419868,97.4357580009475,193,0,22,hybrid_cloud,19,18278,3000,5546,71.47397039293648,blue_green,21.334690806911283,scrum,6,1,1,1,1,0,1,1,1,1,80.8673968762786,14,48.34898570204295,1,42,0,0,5,0,644444,1,1,64.33818635878045,83.85787900047374
tier2,v8.5,v10.1,major_1x,59,31,38.25230715309088,37,71873,650104,97.05869756251752,1389,3,16,hybrid_cloud,16,11525,7461,5358,82.7598711563068,blue_green,13.92751667676168,waterfall,4,0,1,1,1,1,1,1,1,0,74.96105642101124,14,70.68463599716237,4,28,0,1,12,1,1174686,1,1,65.28829353216932,53.74934878125876
microfinance,v9.0,v9.2,minor,36,13,21.160813742797817,24,206334,311763,95.60946364243595,369,3,22,private_cloud,21,6045,2765,4069,79.05470255248602,blue_green,45.454858289227204,waterfall,1,1,1,1,1,1,1,1,1,0,86.1769231585008,8,55.5411477217141,9,29,0,0,2,1,380993,1,1,38.3242704031597,70.42473182121799
tier3,v8.5,v10.5,major_1x,60,32,45.075293196588255,20,263947,170425,98.78553097420013,813,10,30,on_premise,6,20100,1909,4817,74.91205910085701,rolling,68.03654867669528,agile,1,1,1,1,0,0,1,1,1,0,77.77958620861688,18,64.87989273527802,3,21,0,1,12,0,1108056,0,1,100.0,38.13276548710006
tier1,v8.5,v9.2,major_1x,56,48,63.4476025998886,47,109438,422713,97.93288316786499,1030,15,35,public_cloud,34,16570,7970,6144,95.6774018122289,rolling,30.75165118280222,scrum,8,1,1,1,1,1,1,1,1,0,93.5529040685294,9,77.81768302907211,11,35,0,0,9,1,2691307,1,1,100.0,15.866441583932499
tier2,v8.5,v10.5,minor,98,44,40.535679969497394,26,369016,797928,96.75553880262073,775,6,37,on_premise,37,20583,5212,3029,84.71863916545954,blue_green,41.56014347196261,scrum,7,0,1,1,1,1,1,1,0,1,82.47967566773836,10,50.93185512291774,3,22,0,1,10,0,3331885,1,1,89.65789068311389,46.37776940131036
microfinance,v10.1,v11.0,minor,71,13,50.22795277953097,17,129453,183707,97.45629998439895,731,4,17,on_premise,10,3557,3974,2245,72.68989143536197,big_bang,16.538071906294363,waterfall,1,1,1,1,1,0,1,1,0,1,63.53707290337832,16,69.57204097409041,4,47,1,1,3,0,1016081,1,1,100.0,63.60814999219947
microfinance,v9.2,v9.2,minor,55,32,26.977289331731708,23,186794,386164,97.15198280386042,374,1,24,hybrid_cloud,18,7136,2059,4982,76.64643296609906,big_bang,35.63078815329831,agile,3,1,1,1,0,1,1,0,0,0,86.50860864369324,9,65.83001707309727,5,12,0,1,10,1,691776,0,1,67.60364179588487,76.0959914019302
tier2,v9.2,v11.0,major_2x,89,18,56.32710614490984,36,390189,785972,96.34428100568026,1031,4,22,on_premise,23,17416,1833,5480,83.51477319512394,blue_green,75.41159482980089,agile,2,1,1,1,1,1,1,1,1,1,84.57445423670588,16,65.05721332289293,8,36,0,1,7,1,3399216,1,1,77.67370564514493,54.55214050284013
tier3,v9.2,v10.1,major_1x,31,4,26.697947980394524,15,98526,630795,98.35513106829958,834,11,14,hybrid_cloud,14,19291,4972,1212,82.39119571078389,blue_green,14.364633605161693,waterfall,5,1,1,1,1,0,1,1,1,1,78.80708422885435,13,46.93094395623231,9,8,1,0,9,0,1043395,1,1,95.49367544959563,42.4975655341498
tier2,v10.1,v11.0,minor,29,2,60.69471133163639,26,123429,221876,95.70078930156863,1490,6,14,hybrid_cloud,29,26319,4560,7079,78.79495573637725,big_bang,32.71665284119277,kanban,0,1,1,1,1,0,1,1,1,1,84.08126850987998,9,51.650908412837445,6,24,0,0,7,1,3727071,1,1,86.92256099979292,43.05039465078433
microfinance,v9.0,v10.5,minor,12,5,54.40352357686094,10,199476,106728,97.10247688548972,161,3,24,private_cloud,8,3871,1807,1046,70.07737590404133,big_bang,12.385575641855127,agile,4,0,1,1,1,1,1,1,1,1,80.00324266001631,17,60.57251805811728,6,51,0,1,3,0,939137,1,1,79.68567108068905,74.33123844274486
tier2,v8.5,v10.1,major_1x,73,33,61.70703629705187,11,225180,483051,97.3173522036916,1027,11,21,on_premise,15,25249,5403,4359,87.68373503618257,canary,27.536233387920927,kanban,5,1,1,1,1,1,1,1,0,1,70.13268161211653,9,70.42425063252085,3,53,0,0,15,1,2275618,0,1,100.0,34.61867610184581
microfinance,v9.0,v9.2,major_1x,13,25,22.451647147881516,18,62879,86391,96.16136341562142,502,10,26,private_cloud,15,15833,1853,3257,69.37754452006004,blue_green,10.405995856303159,waterfall,0,1,1,1,1,1,1,1,1,1,61.66878047416161,15,51.22122244642011,3,51,1,0,2,1,1091278,0,1,86.0953001303135,45.040681707810705
tier3,v10.1,v9.2,major_1x,62,6,50.62040915161937,29,113250,165778,98.17554943009326,678,6,34,hybrid_cloud,11,4956,5515,2326,75.30644740133387,blue_green,46.616417918845876,scrum,0,1,1,1,1,1,0,1,0,1,62.499545464309584,16,73.90143779585327,7,33,1,0,10,0,1711546,1,1,94.63920055014866,50.52777471504663
tier3,v9.2,v10.5,major_2x,90,38,42.07509645921405,17,296061,470296,97.57119369170084,967,5,27,on_premise,15,25177,5129,4750,74.40582318469669,canary,8.784022925001324,scrum,4,0,0,1,1,1,1,1,0,1,74.09016208354146,18,47.02453229687207,9,18,0,0,5,1,954343,0,1,100.0,50.94559684585042
tier3,v8.5,v9.0,major_1x,26,24,66.63371001059895,16,246223,434424,97.9379305724664,491,5,9,on_premise,20,17677,2606,1583,80.9945090518228,rolling,52.654826541065795,waterfall,4,1,1,1,0,1,1,0,1,1,67.33357459649118,7,68.00813966090638,3,35,1,0,3,1,2071237,0,1,73.43227161729052,69.64896528623319
tier2,v8.2,v9.0,major_1x,71,13,35.84788971584871,30,153299,797982,97.06620111213374,349,10,24,on_premise,30,18596,4848,3045,84.7391014712587,blue_green,21.088283246800223,kanban,4,0,1,1,1,1,1,1,1,0,77.01100871760386,15,74.18004792522517,8,27,0,1,9,1,3698552,1,1,100.0,49.553100556066866
tier2,v8.2,v9.2,minor,109,35,60.13749270982671,21,287037,387516,99.16240386788272,427,2,33,hybrid_cloud,32,29717,1710,7955,95.92045817365789,blue_green,30.36752431060235,agile,2,1,1,1,1,0,0,1,1,0,91.8076823770305,7,62.75046029803384,8,36,1,0,5,1,1180494,0,1,63.13136872978476,68.54120193394135
tier2,v9.0,v10.5,major_2x,51,24,36.35193156032832,30,198759,362242,96.78841522397678,597,11,23,public_cloud,12,9918,4665,7063,94.91234042445271,blue_green,36.223397289809114,agile,4,0,1,0,1,1,1,1,1,1,75.379437600254,12,66.2605553445715,3,12,1,0,8,0,1185992,0,1,100.0,41.954207611988394
tier2,v9.2,v9.0,minor,66,17,37.93967964259314,32,159341,406695,97.5284916817348,458,13,15,on_premise,23,10136,5686,2992,86.85654458485722,rolling,38.88840257508453,scrum,4,1,1,1,1,0,1,1,1,1,75.92581557421242,12,79.27594428633627,1,44,0,0,6,1,2750880,1,1,100.0,43.10424584086741
